Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;support;nat_lang_template;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right
Object;order confirmation;Exactly1[transmit] | |;Unary;set();set();Exactly;transmit;;444;{1} occurs exactly {n} times;{'order confirmation': 0.6048446893692017};0.6048446893692017;e048aa8c-3e1c-4b78-90ed-556f02ee32a0_Object_order confirmation;0.6134115423607418;[];[]
Object;rejection indicator;Exactly1[transmit] | |;Unary;set();set();Exactly;transmit;;444;{1} occurs exactly {n} times;{'rejection indicator': 0.5470144152641296};0.5470144152641296;e048aa8c-3e1c-4b78-90ed-556f02ee32a0_Object_rejection indicator;0.5613642956661771;[];[]
Object;order confirmation;Exactly1[receive] | |;Unary;set();set();Exactly;receive;;189;{1} occurs exactly {n} times;{'order confirmation': 0.6210375428199768};0.6210375428199768;8035aa61-f949-4138-bb62-92174b07af4d_Object_order confirmation;0.5883272566561751;[];[]
Object;purchase order item;Exactly1[receive] | |;Unary;set();set();Exactly;receive;;189;{1} occurs exactly {n} times;{'purchase order item': 0.6102054119110107};0.6102054119110107;8035aa61-f949-4138-bb62-92174b07af4d_Object_purchase order item;0.5785783388381057;[];[]
Object;purchase order;Exactly1[receive] | |;Unary;set();set();Exactly;receive;;189;{1} occurs exactly {n} times;{'purchase order': 0.7390336990356445};0.7390336990356445;8035aa61-f949-4138-bb62-92174b07af4d_Object_purchase order;0.6945237972502761;[];[]
Object;invoice receipt;Exactly1[transmit] | |;Unary;set();set();Exactly;transmit;;444;{1} occurs exactly {n} times;{'invoice receipt': 0.7916640639305115};0.7916640639305115;1c5ef5ad-0796-4596-b8d9-62741bbc6749_Object_invoice receipt;0.7815489794659206;[];[]
Object;invoice;Exactly1[transmit] | |;Unary;set();set();Exactly;transmit;;444;{1} occurs exactly {n} times;{'invoice': 1.0};1.0;1c5ef5ad-0796-4596-b8d9-62741bbc6749_Object_invoice;0.9690513219284603;[];[]
Object;final invoice indicator;Exactly1[transmit] | |;Unary;set();set();Exactly;transmit;;444;{1} occurs exactly {n} times;{'final invoice indicator': 0.6769558787345886};0.6769558787345886;1c5ef5ad-0796-4596-b8d9-62741bbc6749_Object_final invoice indicator;0.6783116127895901;[];[]
Object;subsequent invoice;Exactly1[transmit] | |;Unary;set();set();Exactly;transmit;;444;{1} occurs exactly {n} times;{'subsequent invoice': 0.8053135275840759};0.8053135275840759;1c5ef5ad-0796-4596-b8d9-62741bbc6749_Object_subsequent invoice;0.7938334967541286;[];[]
Object;order confirmation;Succession[hold, approve] | | |;Binary;set();set();Succession;hold;approve;6;{1} occurs if and only if it is followed by {2};{'order confirmation': 0.6210375428199768};0.6210375428199768;6fbd1267-8c5e-4453-9a30-596c7f5361d7_Object_order confirmation;0.5598669145099854;[];[]
Object;purchase order item;Succession[hold, approve] | | |;Binary;set();set();Succession;hold;approve;6;{1} occurs if and only if it is followed by {2};{'purchase order item': 0.6102054119110107};0.6102054119110107;6fbd1267-8c5e-4453-9a30-596c7f5361d7_Object_purchase order item;0.550117996691916;[];[]
Object;purchase order;Succession[hold, approve] | | |;Binary;set();set();Succession;hold;approve;6;{1} occurs if and only if it is followed by {2};{'purchase order': 0.7390336990356445};0.7390336990356445;6fbd1267-8c5e-4453-9a30-596c7f5361d7_Object_purchase order;0.6660634551040864;[];['approve purchase order']
Object;price;Exactly1[hold] | |;Unary;set();set();Exactly;hold;;643;{1} occurs exactly {n} times;{'price': 0.5162217020988464};0.5162217020988464;54afb068-a4a2-4e69-9b98-79771eb4fdeb_Object_price;0.5645995318889618;[];[]
Object;order confirmation;Exactly1[hold] | |;Unary;set();set();Exactly;hold;;643;{1} occurs exactly {n} times;{'order confirmation': 0.5084514021873474};0.5084514021873474;d1f146ed-d760-4705-9e35-47c4c3496f4a_Object_order confirmation;0.5576062619686126;[];[]
Object;purchase order item;Exactly1[hold] | |;Unary;set();set();Exactly;hold;;643;{1} occurs exactly {n} times;{'purchase order item': 0.5222967267036438};0.5222967267036438;d1f146ed-d760-4705-9e35-47c4c3496f4a_Object_purchase order item;0.5700670540332794;[];[]
Object;purchase order;Exactly1[hold] | |;Unary;set();set();Exactly;hold;;643;{1} occurs exactly {n} times;{'purchase order': 0.5582857131958008};0.5582857131958008;d1f146ed-d760-4705-9e35-47c4c3496f4a_Object_purchase order;0.6024571418762207;[];[]
Multi-object;;Precedence[order confirmation, purchase order] | | |;Binary;set();set();Precedence;order confirmation;purchase order;20;{2} occurs only if it is preceded by {1};{'order confirmation': 0.505959689617157, 'purchase order': 0.5417687296867371};0.523864209651947;d114f232-54d9-46dc-9c36-fa7cbce17507_Object_order confirmation_Object_purchase order;0.5359939177190104;[];['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order']
Multi-object;;Precedence[purchase order item, purchase order] | | |;Binary;set();set();Precedence;purchase order item;purchase order;20;{2} occurs only if it is preceded by {1};{'purchase order item': 0.5293601155281067, 'purchase order': 0.5417687296867371};0.5355644226074219;d114f232-54d9-46dc-9c36-fa7cbce17507_Object_purchase order item_Object_purchase order;0.5465241093789377;[];['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order']
Multi-object;;Alternate Succession[purchase order, approval] | | |;Binary;set();set();Alternate Succession;purchase order;approval;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'purchase order': 0.7686414122581482, 'approval': 0.5393943786621094};0.6540178954601288;f9d7a961-abee-4ac4-b757-2003b0e91ae4_Object_purchase order_Object_approval;0.5918419123657288;['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order'];[]
Multi-object;;Alternate Succession[order confirmation, invoice] | | |;Binary;set();set();Alternate Succession;order confirmation;invoice;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'order confirmation': 0.6210375428199768, 'invoice': 0.51160728931427};0.5663224160671234;dfb4206a-a542-467e-a6c7-30a03d71aac3_Object_order confirmation_Object_invoice;0.512915980912024;[];['create invoice']
Multi-object;;Alternate Succession[purchase order item, invoice] | | |;Binary;set();set();Alternate Succession;purchase order item;invoice;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'purchase order item': 0.6102054119110107, 'invoice': 0.51160728931427};0.5609063506126404;dfb4206a-a542-467e-a6c7-30a03d71aac3_Object_purchase order item_Object_invoice;0.5080415220029892;[];['create invoice']
Multi-object;;Precedence[order confirmation, invoice] | | |;Binary;set();set();Precedence;order confirmation;invoice;1;{2} occurs only if it is preceded by {1};{'order confirmation': 0.6210375428199768, 'invoice': 0.5571190714836121};0.5890783071517944;b2fed43e-275d-470a-a513-8d4ef9ca5c6f_Object_order confirmation_Object_invoice;0.5333962828882278;[];['create invoice']
Multi-object;;Precedence[order confirmation, purchase order] | | |;Binary;set();set();Precedence;order confirmation;purchase order;1;{2} occurs only if it is preceded by {1};{'order confirmation': 0.6210375428199768, 'purchase order': 0.6005205512046814};0.6107790470123291;b2fed43e-275d-470a-a513-8d4ef9ca5c6f_Object_order confirmation_Object_purchase order;0.5529269487627091;[];['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order']
Multi-object;;Precedence[purchase order item, invoice] | | |;Binary;set();set();Precedence;purchase order item;invoice;1;{2} occurs only if it is preceded by {1};{'purchase order item': 0.6102054119110107, 'invoice': 0.5571190714836121};0.5836622416973114;b2fed43e-275d-470a-a513-8d4ef9ca5c6f_Object_purchase order item_Object_invoice;0.5285218239791931;[];['create invoice']
Multi-object;;Precedence[purchase order item, purchase order] | | |;Binary;set();set();Precedence;purchase order item;purchase order;1;{2} occurs only if it is preceded by {1};{'purchase order item': 0.6102054119110107, 'purchase order': 0.6005205512046814};0.6053629815578461;b2fed43e-275d-470a-a513-8d4ef9ca5c6f_Object_purchase order item_Object_purchase order;0.5480524898536744;[];['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order']
Multi-object;;Precedence[purchase order, invoice] | | |;Binary;set();set();Precedence;purchase order;invoice;1;{2} occurs only if it is preceded by {1};{'purchase order': 0.7390336990356445, 'invoice': 0.5571190714836121};0.6480763852596283;b2fed43e-275d-470a-a513-8d4ef9ca5c6f_Object_purchase order_Object_invoice;0.5864945531852783;['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order'];['create invoice']
Multi-object;;Precedence[purchase requisition item, purchase order] | | |;Binary;set();set();Precedence;purchase requisition item;purchase order;1;{2} occurs only if it is preceded by {1};{'purchase requisition item': 0.9201850891113281, 'purchase order': 1.0};0.9600925445556641;a88c2f9b-2888-4bd3-8158-01527a1de76c_Object_purchase requisition item_Object_purchase order;0.8673090965517105;[];['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order']
Multi-object;;Precedence[goods receipt, purchase order] | | |;Binary;set();set();Precedence;goods receipt;purchase order;1;{2} occurs only if it is preceded by {1};{'goods receipt': 0.5175038576126099, 'purchase order': 1.0};0.7587519288063049;a88c2f9b-2888-4bd3-8158-01527a1de76c_Object_goods receipt_Object_purchase order;0.6861025423772873;[];['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order']
Multi-object;;Responded Existence[purchase order, invoice] | | |;Binary;set();set();Responded Existence;purchase order;invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'purchase order': 0.7390336990356445, 'invoice': 0.5519095659255981};0.6454716324806213;6f5ff570-f496-4d58-84b9-8910263b1266_Object_purchase order_Object_invoice;0.5841502756841721;['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order'];['create invoice']
Multi-object;;Responded Existence[purchase order, payment block] | | |;Binary;set();set();Responded Existence;purchase order;payment block;1;if {1} occurs in the process instance, then {2} occurs as well;{'purchase order': 0.7390336990356445, 'payment block': 0.703102171421051};0.7210679352283478;6f5ff570-f496-4d58-84b9-8910263b1266_Object_purchase order_Object_payment block;0.6521869481571259;['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order'];[]
Multi-object;;Responded Existence[purchase order, payment term] | | |;Binary;set();set();Responded Existence;purchase order;payment term;1;if {1} occurs in the process instance, then {2} occurs as well;{'purchase order': 0.7390336990356445, 'payment term': 0.7417225241661072};0.7403781116008759;6f5ff570-f496-4d58-84b9-8910263b1266_Object_purchase order_Object_payment term;0.6695661068924011;['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order'];[]
Multi-object;;Alternate Response[invoice, payment block] | | |;Binary;set();set();Alternate Response;invoice;payment block;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'invoice': 0.5519095659255981, 'payment block': 0.69561368227005};0.6237616240978241;c08c2c4b-123b-4728-9e55-18efa758d92d_Object_invoice_Object_payment block;0.5646112681396546;['create invoice'];[]
Multi-object;;Alternate Response[invoice, payment term] | | |;Binary;set();set();Alternate Response;invoice;payment term;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'invoice': 0.5519095659255981, 'payment term': 0.7836142182350159};0.667761892080307;c08c2c4b-123b-4728-9e55-18efa758d92d_Object_invoice_Object_payment term;0.6042115093238892;['create invoice'];[]
Multi-object;;Alternate Response[invoice, purchase order] | | |;Binary;set();set();Alternate Response;invoice;purchase order;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'invoice': 0.5519095659255981, 'purchase order': 0.6005205512046814};0.5762150585651398;c08c2c4b-123b-4728-9e55-18efa758d92d_Object_invoice_Object_purchase order;0.5218193591602387;['create invoice'];['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order']
Multi-object;;Alternate Response[purchase order, payment block] | | |;Binary;set();set();Alternate Response;purchase order;payment block;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'purchase order': 0.5408725142478943, 'payment block': 0.69561368227005};0.6182430982589722;c08c2c4b-123b-4728-9e55-18efa758d92d_Object_purchase order_Object_payment block;0.5596445948846879;['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order'];[]
Multi-object;;Alternate Response[purchase order, payment term] | | |;Binary;set();set();Alternate Response;purchase order;payment term;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'purchase order': 0.5408725142478943, 'payment term': 0.7836142182350159};0.6622433662414551;c08c2c4b-123b-4728-9e55-18efa758d92d_Object_purchase order_Object_payment term;0.5992448360689224;['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order'];[]
Multi-object;;Responded Existence[purchase order, invoice receipt] | | |;Binary;set();set();Responded Existence;purchase order;invoice receipt;1;if {1} occurs in the process instance, then {2} occurs as well;{'purchase order': 0.7390336990356445, 'invoice receipt': 0.7916640639305115};0.765348881483078;9742f05b-1953-4693-a2a4-f683330c4842_Object_purchase order_Object_invoice receipt;0.6920397997863831;['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order'];[]
Multi-object;;Responded Existence[purchase order, invoice] | | |;Binary;set();set();Responded Existence;purchase order;invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'purchase order': 0.7390336990356445, 'invoice': 1.0};0.8695168495178223;9742f05b-1953-4693-a2a4-f683330c4842_Object_purchase order_Object_invoice;0.7857909710176529;['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order'];['create invoice']
Multi-object;;Responded Existence[purchase order, final invoice indicator] | | |;Binary;set();set();Responded Existence;purchase order;final invoice indicator;1;if {1} occurs in the process instance, then {2} occurs as well;{'purchase order': 0.7390336990356445, 'final invoice indicator': 0.6769558787345886};0.7079947888851166;9742f05b-1953-4693-a2a4-f683330c4842_Object_purchase order_Object_final invoice indicator;0.6404211164482178;['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order'];[]
Multi-object;;Responded Existence[purchase order, subsequent invoice] | | |;Binary;set();set();Responded Existence;purchase order;subsequent invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'purchase order': 0.7390336990356445, 'subsequent invoice': 0.8053135275840759};0.7721736133098602;9742f05b-1953-4693-a2a4-f683330c4842_Object_purchase order_Object_subsequent invoice;0.6981820584304871;['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order'];[]
Multi-object;;Precedence[invoice receipt, invoice] | | |;Binary;set();set();Precedence;invoice receipt;invoice;1;{2} occurs only if it is preceded by {1};{'invoice receipt': 0.7916640639305115, 'invoice': 0.5571190714836121};0.6743915677070618;8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_invoice receipt_Object_invoice;0.6101782173879685;[];['create invoice']
Multi-object;;Precedence[invoice receipt, purchase order] | | |;Binary;set();set();Precedence;invoice receipt;purchase order;1;{2} occurs only if it is preceded by {1};{'invoice receipt': 0.7916640639305115, 'purchase order': 0.6005205512046814};0.6960923075675964;8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_invoice receipt_Object_purchase order;0.6297088832624497;[];['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order']
Multi-object;;Precedence[final invoice indicator, invoice] | | |;Binary;set();set();Precedence;final invoice indicator;invoice;1;{2} occurs only if it is preceded by {1};{'final invoice indicator': 0.6769558787345886, 'invoice': 0.5571190714836121};0.6170374751091003;8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_final invoice indicator_Object_invoice;0.5585595340498032;[];['create invoice']
Multi-object;;Precedence[final invoice indicator, purchase order] | | |;Binary;set();set();Precedence;final invoice indicator;purchase order;1;{2} occurs only if it is preceded by {1};{'final invoice indicator': 0.6769558787345886, 'purchase order': 0.6005205512046814};0.638738214969635;8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_final invoice indicator_Object_purchase order;0.5780901999242843;[];['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order']
Multi-object;;Precedence[subsequent invoice, invoice] | | |;Binary;set();set();Precedence;subsequent invoice;invoice;1;{2} occurs only if it is preceded by {1};{'subsequent invoice': 0.8053135275840759, 'invoice': 0.5571190714836121};0.681216299533844;8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_subsequent invoice_Object_invoice;0.6163204760320725;[];['create invoice']
Multi-object;;Precedence[subsequent invoice, purchase order] | | |;Binary;set();set();Precedence;subsequent invoice;purchase order;1;{2} occurs only if it is preceded by {1};{'subsequent invoice': 0.8053135275840759, 'purchase order': 0.6005205512046814};0.7029170393943787;8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_subsequent invoice_Object_purchase order;0.6358511419065537;[];['create purchase order', 'check purchase order', 'approve purchase order', 'archive purchase order', 'reject purchase order']
Multi-object;;Responded Existence[invoice, order confirmation] | | |;Binary;set();set();Responded Existence;invoice;order confirmation;1;if {1} occurs in the process instance, then {2} occurs as well;{'invoice': 0.5571190714836121, 'order confirmation': 0.6210375428199768};0.5890783071517944;64bd7bf3-b349-429f-bdef-018d47341cef_Object_invoice_Object_order confirmation;0.5333962828882278;['create invoice'];[]
Multi-object;;Responded Existence[invoice, purchase order item] | | |;Binary;set();set();Responded Existence;invoice;purchase order item;1;if {1} occurs in the process instance, then {2} occurs as well;{'invoice': 0.5571190714836121, 'purchase order item': 0.6102054119110107};0.5836622416973114;64bd7bf3-b349-429f-bdef-018d47341cef_Object_invoice_Object_purchase order item;0.5285218239791931;['create invoice'];[]
