obs_id;Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;support;nat_lang_template;label_based_generality;object_based_generality;name_based_generality;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right;violation;num_violations
53bd6898-5aee-4700-8d2e-0d2123f323cc_Object_lead;Object;lead;Exactly1[approve] | |;Unary;set();set();Exactly;approve;;37;{1} occurs exactly {n} times;0.7979643665207121;0.8377940036251508;0.0;{'lead': 0.5991355776786804};0.5991355776786804;53bd6898-5aee-4700-8d2e-0d2123f323cc_Object_lead;0.541463085931406;[];[];53bd6898-5aee-4700-8d2e-0d2123f323cc_Object_lead;2296
2ef08154-5d61-441c-9d4b-73e2c0c0fc36_Object_email;Object;email;Exactly1[demo] | |;Unary;set();set();Exactly;demo;;12;{1} occurs exactly {n} times;0.7690968770553203;0.8243582611661867;0.0;{'email': 0.6176485419273376};0.6176485419273376;2ef08154-5d61-441c-9d4b-73e2c0c0fc36_Object_email;0.5566105199574992;[];[];2ef08154-5d61-441c-9d4b-73e2c0c0fc36_Object_email;25
e41ca91e-cd53-4a6a-a0d0-280909b6c801_Object_status;Object;status;Exactly1[update] | |;Unary;{'02c72b8909f749f398f46904dd3a4afa'};set();Exactly;update;;152;{1} occurs exactly {n} times;0.8484449112461336;0.8796639511386842;0.0;{'status': 0.6309105157852173};0.6309105157852173;e41ca91e-cd53-4a6a-a0d0-280909b6c801_Object_status;0.5770260056967017;[];[];e41ca91e-cd53-4a6a-a0d0-280909b6c801_Object_status;10778
d5537a2a-ecac-4a98-b570-9037fbbde16c_Object_activity;Object;activity;Exactly1[call] | |;Unary;set();set();Exactly;call;;11;{1} occurs exactly {n} times;0.8219438619822973;0.8185295708477497;0.0;{'activity': 0.91131991147995};0.91131991147995;d5537a2a-ecac-4a98-b570-9037fbbde16c_Object_activity;0.8208541832029422;[];[];d5537a2a-ecac-4a98-b570-9037fbbde16c_Object_activity;17186
517d4af1-ab4d-47a9-9a64-9ae45e7a3e18_Object_bad data;Object;bad data;Exactly1[lead] | |;Unary;{'917935368a1d4d99a8f457f51b4933be'};set();Exactly;lead;;53;{1} occurs exactly {n} times;0.8126198956095088;0.8422308978362463;0.0;{'bad data': 0.5585922002792358};0.5585922002792358;517d4af1-ab4d-47a9-9a64-9ae45e7a3e18_Object_bad data;0.5059431559024329;[];[];517d4af1-ab4d-47a9-9a64-9ae45e7a3e18_Object_bad data;31021
afb0b31b-0be9-42d6-8f17-5d5745dc4be0_Object_activity logged task questionnaire;Object;activity logged task questionnaire;Exactly1[send] | |;Unary;{'527e8b8645d6428b9b5c1ac351fe7264'};set();Exactly;send;;68;{1} occurs exactly {n} times;0.8279169013357851;0.8574682309567977;0.0;{'activity logged task questionnaire': 0.5565252304077148};0.5565252304077148;afb0b31b-0be9-42d6-8f17-5d5745dc4be0_Object_activity logged task questionnaire;0.5049914232966829;[];[];afb0b31b-0be9-42d6-8f17-5d5745dc4be0_Object_activity logged task questionnaire;3734
8ee4e707-f410-4527-98df-e8bdf815610b_Object_status updated;Object;status updated;Exactly1[log] | |;Unary;{'1f1d33b6dde84b8180efb479da1a3a70'};set();Exactly;log;;5;{1} occurs exactly {n} times;0.8301880702243319;0.838693481420965;0.0;{'status updated': 0.7204192280769348};0.7204192280769348;8ee4e707-f410-4527-98df-e8bdf815610b_Object_status updated;0.6486801520287809;[];[];8ee4e707-f410-4527-98df-e8bdf815610b_Object_status updated;6
20a72752-7148-4ad4-b9f7-b4bf01ffc51f_Object_opportunity account;Object;opportunity account;Exactly1[assign] | |;Unary;{'eafd1ab3a4eb4ee894f961b0d9e98619'};set();Exactly;assign;;164;{1} occurs exactly {n} times;0.8486902948437185;0.8765183409141855;0.0;{'opportunity account': 0.624484658241272};0.624484658241272;20a72752-7148-4ad4-b9f7-b4bf01ffc51f_Object_opportunity account;0.571969566130046;[];[];20a72752-7148-4ad4-b9f7-b4bf01ffc51f_Object_opportunity account;220057
0eeac744-81ce-4966-911d-05922fbe203e_Object_bad data;Object;bad data;Exactly1[close] | |;Unary;{'1204c29a5e1c4f888fd35f88088ce4d2'};set();Exactly;close;;418;{1} occurs exactly {n} times;0.8231684896520981;0.8455173581098518;0.0;{'bad data': 0.5353792309761047};0.5353792309761047;0eeac744-81ce-4966-911d-05922fbe203e_Object_bad data;0.5071592969760109;[];[];0eeac744-81ce-4966-911d-05922fbe203e_Object_bad data;11175
9e379b0e-6757-4743-9e67-c7f1a7d1439a_Object_customer contact role;Object;customer contact role;Exactly1[create] | |;Unary;{'39b376a02dce4f4fa54294c0c00d30e1'};set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8509474045156123;0.8655969923886213;0.0;{'customer contact role': 0.5280054807662964};0.5280054807662964;9e379b0e-6757-4743-9e67-c7f1a7d1439a_Object_customer contact role;0.5746598085224953;[];[];9e379b0e-6757-4743-9e67-c7f1a7d1439a_Object_customer contact role;2102
9e6ef90b-a7f2-49ca-84fe-0b9a24b61f8c_Object_customer contact role;Object;customer contact role;Exactly1[preparation] | |;Unary;{'1354f65c09814688b1275a517c289f60'};set();Exactly;preparation;;9;{1} occurs exactly {n} times;0.7877615349633353;0.8435759361619906;0.0;{'customer contact role': 0.6362950205802917};0.6362950205802917;9e6ef90b-a7f2-49ca-84fe-0b9a24b61f8c_Object_customer contact role;0.573210642689434;[];[];9e6ef90b-a7f2-49ca-84fe-0b9a24b61f8c_Object_customer contact role;12
559997ed-47eb-42a9-9ddd-7d73073467af_Object_opportunity account;Object;opportunity account;Exactly1[set] | |;Unary;{'6550c5eb3c1a476c83b02b07c36999b8'};set();Exactly;set;;76;{1} occurs exactly {n} times;0.8294620560597721;0.8926495838397431;0.0;{'opportunity account': 0.624484658241272};0.624484658241272;559997ed-47eb-42a9-9ddd-7d73073467af_Object_opportunity account;0.5666394631621477;[];[];559997ed-47eb-42a9-9ddd-7d73073467af_Object_opportunity account;2529
8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task social_Object_activity logged;Multi-object;;Precedence[activity logged task social, activity logged] | | |;Binary;set();set();Precedence;activity logged task social;activity logged;4;{2} occurs only if it is preceded by {1};0.7502310325702032;0.795407677690188;0.0;{'activity logged task social': 0.5398985743522644, 'activity logged': 0.5494124293327332};0.5446555018424988;8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task social_Object_activity logged;0.547332808801106;['Activity logged: Task (Social Connect)'];['Activity logged: Call', 'Activity logged: Email'];8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task social_Object_activity logged;26086
8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task social_Object_activity logged task;Multi-object;;Precedence[activity logged task social, activity logged task] | | |;Binary;set();set();Precedence;activity logged task social;activity logged task;4;{2} occurs only if it is preceded by {1};0.7502310325702032;0.795407677690188;0.0;{'activity logged task social': 0.5398985743522644, 'activity logged task': 0.507078230381012};0.5234884023666382;8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task social_Object_activity logged task;0.5282824192728315;['Activity logged: Task (Social Connect)'];['Activity logged: Task', 'Activity logged: Task (Call)', 'Activity logged: Task (Sent Email)', 'Activity logged: Task (On-Site Demo / Meeting)', 'Activity logged: Task (Training)'];8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task social_Object_activity logged task;9227
8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task_Object_activity logged;Multi-object;;Precedence[activity logged task, activity logged] | | |;Binary;set();set();Precedence;activity logged task;activity logged;4;{2} occurs only if it is preceded by {1};0.7502310325702032;0.795407677690188;0.0;{'activity logged task': 0.5532997846603394, 'activity logged': 0.5494124293327332};0.5513561069965363;8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task_Object_activity logged;0.5533633534397397;['Activity logged: Task', 'Activity logged: Task (Call)', 'Activity logged: Task (Sent Email)', 'Activity logged: Task (On-Site Demo / Meeting)', 'Activity logged: Task (Training)'];['Activity logged: Call', 'Activity logged: Email'];8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task_Object_activity logged;24732
8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task_Object_activity;Multi-object;;Precedence[activity logged task, activity] | | |;Binary;set();set();Precedence;activity logged task;activity;4;{2} occurs only if it is preceded by {1};0.7502310325702032;0.795407677690188;0.0;{'activity logged task': 0.5532997846603394, 'activity': 0.91131991147995};0.7323098480701447;8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task_Object_activity;0.7162217204059874;['Activity logged: Task', 'Activity logged: Task (Call)', 'Activity logged: Task (Sent Email)', 'Activity logged: Task (On-Site Demo / Meeting)', 'Activity logged: Task (Training)'];['Activity logged: Task (POC)'];8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task_Object_activity;8
8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity_Object_activity logged;Multi-object;;Precedence[activity, activity logged] | | |;Binary;set();set();Precedence;activity;activity logged;4;{2} occurs only if it is preceded by {1};0.7502310325702032;0.795407677690188;0.0;{'activity': 1.0000001192092896, 'activity logged': 0.5494124293327332};0.7747062742710114;8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity_Object_activity logged;0.7543785039867674;['Activity logged: Task (POC)'];['Activity logged: Call', 'Activity logged: Email'];8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity_Object_activity logged;26084
8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task demo_Object_activity logged task social;Multi-object;;Precedence[activity logged task demo, activity logged task social] | | |;Binary;set();set();Precedence;activity logged task demo;activity logged task social;4;{2} occurs only if it is preceded by {1};0.7502310325702032;0.795407677690188;0.0;{'activity logged task demo': 0.5272130966186523, 'activity logged task social': 0.5214481353759766};0.5243306159973145;8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task demo_Object_activity logged task social;0.5290404115404401;['Activity logged: Task (Demo Preparation)'];['Activity logged: Task (Social Connect)'];8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task demo_Object_activity logged task social;29
8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task demo_Object_activity logged;Multi-object;;Precedence[activity logged task demo, activity logged] | | |;Binary;set();set();Precedence;activity logged task demo;activity logged;4;{2} occurs only if it is preceded by {1};0.7502310325702032;0.795407677690188;0.0;{'activity logged task demo': 0.5272130966186523, 'activity logged': 0.5494124293327332};0.5383127629756927;8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task demo_Object_activity logged;0.5416243438209806;['Activity logged: Task (Demo Preparation)'];['Activity logged: Call', 'Activity logged: Email'];8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task demo_Object_activity logged;26074
